8+43   _51
63+4   _67
46+6   _52
782+36 _818
19*0   _0     
208*60 _12480 
325+9  _334
879*2  _1758  
77*95  _7315  
0*225  _0     
5*877  _4385  
769+8  _777
20+74  _94
432*451_194832
527*71 _37417 
553+16 _569
551+3  _554
5*59   _295   
400*64 _25600 
23*690 _15870 
730*69 _50370 
45+58  _103
652*720_469440
5*382  _1910  
39+2   _41
72+3   _75
3*209  _627   
4+9    _13
667*94 _62698 
88+336 _424
69*0   _0     
9+2    _11
3+140  _143
7*14   _98    
817*28 _22876 
928*6  _5568  
1*94   _94    
505+11 _516
1*700  _700   
122*853_104066
84*9   _756   
97+13  _110
3*340  _1020  
703*74 _52022 
693+1  _694
9*798  _7182  
228*644_146832
103*1  _103   
89+162 _251
65*159 _10335 
39*8   _312   
41+450 _491
51*505 _25755 
726*9  _6534  
74+617 _691
445*2  _890   
7+2    _9
2*224  _448   
342*65 _22230 
8*69   _552   
4*181  _724   
2*924  _1848  
0+21   _21
5*4    _20    
88+4   _92
147+93 _240
945+50 _995
373+85 _458
425*400_170000
6+837  _843
4*892  _3568  
8*12   _96    
82+4   _86
5*902  _4510  
54*80  _4320  
40+93  _133
85*0   _0     
762*191_145542
861+99 _960
64+9   _73
31*3   _93    
794*8  _6352  
0*95   _0     
1*58   _58    
2*70   _140   
2*97   _194   
28*259 _7252  
0*637  _0     
6*407  _2442  
39+617 _656
378+21 _399
251+3  _254
526*7  _3682  
160+130_290
4*81   _324   
986*4  _3944  
9*48   _432   
144*6  _864   
858+20 _878
4*7    _28    
0+60   _60
97+430 _527
3*245  _735   
516+340_856
51*4   _204   
39*262 _10218 
69+665 _734
88*64  _5632  
97+1   _98
48+4   _52
6*34   _204   
4*36   _144   
0+325  _325
615+637_1252
0+1    _1
8*539  _4312  
48+470 _518
35*4   _140   
946+528_1474
114+156_270
11*2   _22    
37+4   _41
4*0    _0     
49*24  _1176  
9+429  _438
895*6  _5370  
66*81  _5346  
93+590 _683
171+93 _264
2*1    _2     
158+96 _254
22+9   _31
203*72 _14616 
96+658 _754
470+6  _476
4*58   _232   
828*0  _0     
606+5  _611
31+694 _725
50*3   _150   
640+50 _690
4+253  _257
814*6  _4884  
6*40   _240   
27+0   _27
82*1   _82    
5*491  _2455  
718+2  _720
438+1  _439
0*6    _0     
27+380 _407
386*22 _8492  
92*6   _552   
696*1  _696   
4*3    _12    
678+7  _685
66*4   _264   
742*223_165466
23+470 _493
7*5    _35    
100+95 _195
6+538  _544
88+855 _943
7+24   _31
0+0    _0
2+60   _62
1+775  _776
23*16  _368   
2+649  _651
708+591_1299
82*33  _2706  
36*10  _360   
1+643  _644
474+9  _483
435+733_1168
890*2  _1780  
74*46  _3404  
0*786  _0     
5*46   _230   
991*658_652078
72+98  _170
37+606 _643
85+48  _133
510*7  _3570  
5*3    _15    
602*927_558054
54*6   _324   
8+3    _11
8+368  _376
9+981  _990
2*421  _842   
2+57   _59
628+4  _632
2*10   _20    
2*550  _1100  
4*887  _3548  
3+2    _5
898+996_1894
163+3  _166
2+851  _853
948+79 _1027
954+0  _954
29*38  _1102  
154+5  _159
11+598 _609
33+613 _646
8*1    _8     
26+870 _896
892*27 _24084 
7*0    _0     
6*314  _1884  
9+95   _104
2*166  _332   
19*53  _1007  
4+309  _313
969+2  _971
11*8   _88    
32+78  _110
3*10   _30    
22+612 _634
243*2  _486   
1+59   _60
93*94  _8742  
32*139 _4448  
1+1    _2
744+49 _793
1+875  _876
61*12  _732   
242*949_229658
126*48 _6048  
6*88   _528   
58*247 _14326 
589*5  _2945  
88+18  _106
82*14  _1148  
0+17   _17
56+913 _969
91*735 _66885 
7*49   _343   
687*9  _6183  
55*57  _3135  
412*597_245964
199*4  _796   
44*926 _40744 
345*84 _28980 
32*885 _28320 
711+4  _715
6+272  _278
44+89  _133
15+8   _23
501+63 _564
1*504  _504   
2*0    _0     
5*89   _445   
885+97 _982
83*91  _7553  
66*39  _2574  
57*539 _30723 
11+0   _11
10*7   _70    
1*494  _494   
4+67   _71
414*8  _3312  
157+57 _214
31*87  _2697  
5*16   _80    
9*815  _7335  
8*117  _936   
3*124  _372   
81*5   _405   
420*93 _39060 
4+421  _425
78*1   _78    
8+715  _723
97+19  _116
39*3   _117   
808+600_1408
111*7  _777   
8*41   _328   
8*9    _72    
272*60 _16320 
899+0  _899
49*96  _4704  
62+47  _109
542*9  _4878  
795*269_213855
709+12 _721
9+94   _103
53+52  _105
71*70  _4970  
8*703  _5624  
1*7    _7     
47*9   _423   
53+722 _775
574*7  _4018  
909+2  _911
8+8    _16
51+676 _727
49*68  _3332  
494+9  _503
5+19   _24
627+2  _629
962*5  _4810  
337+4  _341
6*765  _4590  
43*86  _3698  
791+829_1620
42+5   _47
2+269  _271
1*69   _69    
88*7   _616   
8*25   _200   
1+3    _4
413+6  _419
675*53 _35775 
239*701_167539
73+0   _73
42+780 _822
64*8   _512   
42+889 _931
867+8  _875
886+8  _894
59+8   _67
70+0   _70
796+43 _839
164*3  _492   
328+801_1129
307+8  _315
61*7   _427   
315*26 _8190  
13+57  _70
31*998 _30938 
60*9   _540   
87*3   _261   
81*951 _77031 
443*1  _443   
85*35  _2975  
3+17   _20
2+6    _8
252+427_679
468*39 _18252 
49*4   _196   
694*1  _694   
1+29   _30
287+72 _359
516+901_1417
330+648_978
612+0  _612
198+6  _204
14*108 _1512  
75*5   _375   
5*2    _10    
88*9   _792   
81*133 _10773 
93+71  _164
0*679  _0     
66+54  _120
860+7  _867
9+99   _108
4+507  _511
461*7  _3227  
35*75  _2625  
2*214  _428   
38+277 _315
43*722 _31046 
495*5  _2475  
7+157  _164
4+59   _63
13+8   _21
511*4  _2044  
20+83  _103
8*835  _6680  
475+2  _477
154+1  _155
787+2  _789
215*6  _1290  
9+11   _20
274*0  _0     
0+752  _752
98+9   _107
162+2  _164
502*5  _2510  
59*111 _6549  
48+68  _116
6+664  _670
3+583  _586
284+5  _289
7*883  _6181  
79*57  _4503  
2*326  _652   
151*41 _6191  
4+4    _8
541+45 _586
53*24  _1272  
0+26   _26
9+52   _61
4+173  _177
10*6   _60    
142*0  _0     
160*348_55680 
87*65  _5655  
9+877  _886
863+358_1221
1*571  _571   
864+217_1081
551+394_945
59+3   _62
219+3  _222
22+34  _56
574+556_1130
63+114 _177
7*873  _6111  
8*584  _4672  
441*39 _17199 
748+3  _751
0*49   _0     
72+23  _95
455*43 _19565 
17*842 _14314 
35*2   _70    
95+46  _141
6*475  _2850  
5+69   _74
602+1  _603
77*8   _616   
44*388 _17072 
500+0  _500
803*79 _63437 
208+25 _233
430+5  _435
4*933  _3732  
36+3   _39
20*5   _100   
3*802  _2406  
8*801  _6408  
3+883  _886
909*207_188163
6*76   _456   
3+569  _572
17*1   _17    
15*263 _3945  
699+2  _701
42*863 _36246 
14*35  _490   
59*777 _45843 
8+906  _914
33*452 _14916 
6*35   _210   
931*2  _1862  
62*18  _1116  
626*67 _41942 
36*751 _27036 
5+578  _583
96*15  _1440  
291+59 _350
16+54  _70
893+28 _921
526*6  _3156  
31+2   _33
98+628 _726
3*372  _1116  
7+181  _188
2+429  _431
7*3    _21    
126+6  _132
3*128  _384   
107*8  _856   
746+42 _788
64*5   _320   
95+41  _136
85+21  _106
68+414 _482
836*11 _9196  
228*7  _1596  
3*167  _501   
32+61  _93
35*5   _175   
99*0   _0     
77*78  _6006  
3*6    _18    
874+24 _898
383+4  _387
95*86  _8170  
137*64 _8768  
335+688_1023
202+858_1060
1+393  _394
52+386 _438
3+105  _108
678+4  _682
578+48 _626
24*6   _144   
73+6   _79
8+7    _15
85+848 _933
2+90   _92
72+2   _74
58+58  _116
75+240 _315
357*5  _1785  
7*67   _469   
968*57 _55176 
83*699 _58017 
64+89  _153
9*30   _270   
53+0   _53
0+8    _8
454*580_263320
8*564  _4512  
75+8   _83
44+3   _47
60*381 _22860 
23*0   _0     
2*2    _4     
44+76  _120
51*54  _2754  
78*410 _31980 
61*4   _244   
88+525 _613
8+87   _95
436+2  _438
731*131_95761 
73*74  _5402  
37*9   _333   
998+51 _1049
680*912_620160
33+5   _38
106*67 _7102  
77*64  _4928  
193*982_189526
5+83   _88
3*994  _2982  
4*116  _464   
803+82 _885
9+10   _19
44+67  _111
50+793 _843
9+5    _14
49*29  _1421  
20+390 _410
623+61 _684
0*744  _0     
888*33 _29304 
415+17 _432
298+25 _323
60+58  _118
28*192 _5376  
305*97 _29585 
7*583  _4081  
17+99  _116
406+64 _470
710*7  _4970  
527*863_454801
61*590 _35990 
191+3  _194
854+89 _943
9+121  _130
6*25   _150   
936+916_1852
634+0  _634
169+43 _212
791*225_177975
269*98 _26362 
5*43   _215   
217+320_537
40*577 _23080 
78*542 _42276 
9+55   _64
4+91   _95
7+25   _32
148+88 _236
486+2  _488
6*310  _1860  
78*366 _28548 
89+40  _129
11+386 _397
93*858 _79794 
2*499  _998   
105*4  _420   
2+444  _446
993*6  _5958  
52*376 _19552 
62*8   _496   
8+821  _829
6+209  _215
18+5   _23
597+1  _598
4+342  _346
4+861  _865
350+9  _359
9+42   _51
318*562_178716
24*491 _11784 
2*610  _1220  
2*66   _132   
134*309_41406 
12*99  _1188  
6+4    _10
79+21  _100
36*563 _20268 
21*3   _63    
1+93   _94
612+8  _620
7+7    _14
65*6   _390   
93*93  _8649  
728*361_262808
8*356  _2848  
4+2    _6
900+0  _900
8*33   _264   
47+838 _885
147*30 _4410  
73+9   _82
67*155 _10385 
2*634  _1268  
976*39 _38064 
99*2   _198   
70+8   _78
304+24 _328
65*46  _2990  
99+248 _347
9+323  _332
956*863_825028
93*5   _465   
7*191  _1337  
365*33 _12045 
9*61   _549   
4+79   _83
62+733 _795
38*966 _36708 
58+0   _58
596+53 _649
5+527  _532
973*6  _5838  
41*5   _205   
99+84  _183
7+955  _962
131+821_952
30+68  _98
146*7  _1022  
6+934  _940
395*202_79790 
72+1   _73
66*0   _0     
851*276_234876
589+587_1176
809*948_766932
0*283  _0     
34*137 _4658  
741+7  _748
31+5   _36
4+75   _79
9+387  _396
31*79  _2449  
9+9    _18
626*1  _626   
7*713  _4991  
69+30  _99
3*41   _123   
23+194 _217
33+255 _288
149+9  _158
4*438  _1752  
458+95 _553
199+37 _236
625*43 _26875 
27*72  _1944  
98*858 _84084 
41+22  _63
659*19 _12521 
5*824  _4120  
96*544 _52224 
780*8  _6240  
14+226 _240
7*51   _357   
895*7  _6265  
792+2  _794
8+86   _94
273*819_223587
129+9  _138
4+980  _984
8*461  _3688  
310*143_44330 
71+982 _1053
32*7   _224   
986+971_1957
85+414 _499
191+252_443
0*207  _0     
75*874 _65550 
1*323  _323   
50*97  _4850  
741+65 _806
1+39   _40
61*92  _5612  
458*3  _1374  
38+4   _42
636+403_1039
0+83   _83
948+1  _949
161*3  _483   
473+7  _480
82+5   _87
4*537  _2148  
2*443  _886   
111+8  _119
16+799 _815
509*39 _19851 
629*6  _3774  
516+550_1066
5*87   _435   
26*13  _338   
3+52   _55
941*44 _41404 
15*95  _1425  
50*9   _450   
333+254_587
1+638  _639
791*3  _2373  
993+5  _998
40+173 _213
468+5  _473
24*0   _0     
0+42   _42
546*944_515424
65*3   _195   
947+10 _957
45*88  _3960  
25*652 _16300 
986*1  _986   
163+44 _207
414+436_850
2*941  _1882  
63*22  _1386  
26*79  _2054  
550+29 _579
56+192 _248
45*151 _6795  
37*57  _2109  
28+42  _70
140*86 _12040 
7*722  _5054  
4*69   _276   
49+573 _622
81+32  _113
34+333 _367
95+5   _100
9*44   _396   
31+22  _53
387+64 _451
93+442 _535
812*61 _49532 
740*63 _46620 
89+36  _125
5*10   _50    
72*8   _576   
29*4   _116   
935+579_1514
34+0   _34
4*10   _40    
915+6  _921
812*6  _4872  
73+94  _167
14*0   _0     
0+271  _271
813+5  _818
407+7  _414
21*504 _10584 
869+8  _877
567*0  _0     
470*29 _13630 
59*10  _590   
405+102_507
7*291  _2037  
93+22  _115
4+32   _36
98*222 _21756 
68+24  _92
995+55 _1050
76*4   _304   
2*19   _38    
90+0   _90
54+166 _220
13*71  _923   
48*87  _4176  
32*24  _768   
8+58   _66
71*820 _58220 
4+735  _739
4*572  _2288  
1+170  _171
98+5   _103
6*78   _468   
48*116 _5568  
943*3  _2829  
3+82   _85
286*234_66924 
87*4   _348   
173*59 _10207 
872+710_1582
0*37   _0     
344*59 _20296 
2+91   _93
822+2  _824
44+705 _749
87+796 _883
7*81   _567   
624*833_519792
58*629 _36482 
321+7  _328
98*322 _31556 
466+77 _543
3*200  _600   
26*43  _1118  
484*19 _9196  
3+24   _27
56+1   _57
578+3  _581
97*92  _8924  
319+504_823
60+759 _819
7+792  _799
526*13 _6838  
1*232  _232   
865*117_101205
28+5   _33
3+40   _43
6*607  _3642  
404+598_1002
56*8   _448   
904*650_587600
187+26 _213
0*36   _0     
2+647  _649
7*190  _1330  
1+787  _788
695+15 _710
25*504 _12600 
676+75 _751
96*0   _0     
858+27 _885
113+2  _115
22*23  _506   
64+992 _1056
674*37 _24938 
8+74   _82
856*670_573520
5+616  _621
6*400  _2400  
395*47 _18565 
65+40  _105
33+348 _381
802+598_1400
595*1  _595   
28*842 _23576 
165+422_587
85+98  _183
74+21  _95
3+3    _6
519+742_1261
128*180_23040 
3+685  _688
52*7   _364   
7+18   _25
38*0   _0     
83+99  _182
87*61  _5307  
79+497 _576
11+599 _610
58+2   _60
46*0   _0     
2+474  _476
2*93   _186   
545+52 _597
771+84 _855
389+2  _391
566*48 _27168 
33*3   _99    
78+2   _80
5*77   _385   
974+49 _1023
642+44 _686
86+74  _160
623+95 _718
531+683_1214
125*30 _3750  
42*266 _11172 
77+1   _78
434*3  _1302  
276*2  _552   
8*667  _5336  
3+696  _699
2*404  _808   
246*5  _1230  
94*4   _376   
116+9  _125
959+70 _1029
6*935  _5610  
364*5  _1820  
91*425 _38675 
9+89   _98
69+637 _706
45*376 _16920 
136+607_743
394*180_70920 
7*34   _238   
82*95  _7790  
50*21  _1050  
7*40   _280   
0+928  _928
474*204_96696 
98*617 _60466 
500*67 _33500 
7*535  _3745  
787*9  _7083  
77*29  _2233  
496+0  _496
117+912_1029
130+17 _147
68+8   _76
73+824 _897
4+96   _100
8+153  _161
555*179_99345 
12*47  _564   
57+8   _65
3+610  _613
68+43  _111
13+893 _906
957*9  _8613  
8*45   _360   
646+593_1239
1*86   _86    
5*803  _4015  
618*9  _5562  
9+172  _181
7+86   _93
384*521_200064
93+9   _102
8+5    _13
22+591 _613
25+17  _42
331+0  _331
18*1   _18    
2*760  _1520  
47+3   _50
14+84  _98
357+73 _430
799*1  _799   
885*89 _78765 
85*91  _7735  
2*356  _712   
86+90  _176
4*323  _1292  
41*6   _246   
73+8   _81
48*0   _0     
513+51 _564
309*952_294168
30+90  _120
97+796 _893
20*946 _18920 
804+50 _854
70+993 _1063
65+2   _67
9*643  _5787  
775*68 _52700 
320*71 _22720 
20*0   _0     
5*22   _110   
6+176  _182
78+11  _89
89*6   _534   
9+992  _1001
2+733  _735
391+320_711
2*88   _176   
64*369 _23616 
16+779 _795
670*237_158790
48+8   _56
61+1   _62
558*942_525636
45+9   _54
78*8   _624   
12+6   _18
1*746  _746   
163+993_1156
258*43 _11094 
564*977_551028
904+723_1627
283*646_182818
55+7   _62
80+76  _156
916+65 _981
202*554_111908
75*56  _4200  
295*3  _885   
37*7   _259   
669*90 _60210 
8+325  _333
2+63   _65
3+14   _17
195+30 _225
7*77   _539   
24*5   _120   
6+865  _871
71*2   _142   
898*62 _55676 
233+8  _241
534+9  _543
75+79  _154
97*721 _69937 
56+3   _59
5+86   _91
5*653  _3265  
9*101  _909   
76+825 _901
59+157 _216
2+130  _132
6+95   _101
7*794  _5558  
20*22  _440   
56*631 _35336 
38+75  _113
110*0  _0     
220*9  _1980  
7*54   _378   
971+808_1779
38*957 _36366 
937*749_701813
505*852_430260
853+6  _859
599*8  _4792  
583*91 _53053 
787+17 _804
469*398_186662
473+0  _473
97*58  _5626  
864+902_1766
477+5  _482
888*99 _87912 
1+85   _86
825*0  _0     
11*458 _5038  
388+7  _395
0+464  _464
236+9  _245
2+89   _91
141*864_121824
52+809 _861
73*546 _39858 
3*393  _1179  
600*36 _21600 
128+89 _217
690*932_643080
289+335_624
12*733 _8796  
894*68 _60792 
8+581  _589
30*52  _1560  
4+140  _144
89+4   _93
7+324  _331
5*47   _235   
88+5   _93
529*37 _19573 
34*424 _14416 
422*30 _12660 
240*93 _22320 
94*692 _65048 
801+688_1489
12+36  _48
51+62  _113
4*529  _2116  
33*276 _9108  
2+168  _170
46+4   _50
186*670_124620
46*124 _5704  
84+53  _137
82*12  _984   
10+914 _924
1*625  _625   
207*637_131859
6+59   _65
0+469  _469
992*905_897760
95*103 _9785  
4+939  _943
7*99   _693   
268*12 _3216  
790*3  _2370  
32+5   _37
28+45  _73
736+4  _740
3*71   _213   
630*14 _8820  
3*75   _225   
0+102  _102
8+670  _678
10+11  _21
3*83   _249   
45+4   _49
57+91  _148
94*14  _1316  
357+893_1250
845*3  _2535  
502*2  _1004  
611*1  _611   
75+31  _106
40+754 _794
741*213_157833
86+3   _89
57+0   _57
82*16  _1312  
556*6  _3336  
3*695  _2085  
11*197 _2167  
41+7   _48
9*23   _207   
627*4  _2508  
34*67  _2278  
512*63 _32256 
73+32  _105
68+53  _121
572*123_70356 
29+72  _101
49*655 _32095 
95+62  _157
333+39 _372
57*4   _228   
69+68  _137
5*389  _1945  
84*3   _252   
11+52  _63
134+294_428
317*9  _2853  
42*546 _22932 
5*92   _460   
13*9   _117   
152+422_574
81+684 _765
30+194 _224
590*813_479670
876*96 _84096 
0+352  _352
21*393 _8253  
49+379 _428
46*99  _4554  
90+825 _915
357*212_75684 
78*75  _5850  
103+54 _157
2*490  _980   
13+24  _37
30+103 _133
62+29  _91
8+712  _720
5+367  _372
487*6  _2922  
648+2  _650
2+240  _242
95*56  _5320  
2*13   _26    
21+969 _990
86+2   _88
31*99  _3069  
7+993  _1000
2*37   _74    
404+41 _445
87*385 _33495 
35*16  _560   
69*23  _1587  
63*93  _5859  
24*98  _2352  
85*7   _595   
92+546 _638
3*914  _2742  
7+70   _77
140+2  _142
9*82   _738   
963+634_1597
2*184  _368   
450+507_957
22+24  _46
106*61 _6466  
753+56 _809
742*837_621054
784*8  _6272  
311+4  _315
974*4  _3896  
57*276 _15732 
14+998 _1012
259+12 _271
662+96 _758
44*419 _18436 
832*662_550784
855+15 _870
79+3   _82
166*303_50298 
264+4  _268
64+637 _701
476+42 _518
38*59  _2242  
4+126  _130
889+4  _893
1+20   _21
309+71 _380
735*75 _55125 
33+7   _40
7+58   _65
1*47   _47    
963*9  _8667  
2+24   _26
785*17 _13345 
477*92 _43884 
549*381_209169
368+88 _456
3*807  _2421  
507*84 _42588 
236*4  _944   
308*29 _8932  
8*22   _176   
7+449  _456
358*151_54058 
30+35  _65
90*4   _360   
391*56 _21896 
88*52  _4576  
60*59  _3540  
5*71   _355   
128+629_757
2+772  _774
30+5   _35
1+92   _93
280*2  _560   
25+150 _175
604+4  _608
78+4   _82
87*7   _609   
5*147  _735   
452*73 _32996 
608+725_1333
4*53   _212   
7*69   _483   
53*762 _40386 
591*27 _15957 
688+46 _734
18+9   _27
990*9  _8910  
551+56 _607
54+900 _954
330+748_1078
0+510  _510
8+264  _272
77+66  _143
580*99 _57420 
388+904_1292
66*9   _594   
1+785  _786
4*774  _3096  
13+6   _19
6*426  _2556  
3+503  _506
80+392 _472
50*0   _0     
9+35   _44
7*68   _476   
650*11 _7150  
77*0   _0     
976*860_839360
2+53   _55
32+96  _128
133+625_758
97+935 _1032
92*53  _4876  
422+878_1300
617*783_483111
53+146 _199
959*60 _57540 
22*965 _21230 
4+200  _204
346*899_311054
61*8   _488   
684+9  _693
363*2  _726   
633+28 _661
67+204 _271
54*94  _5076  
66+48  _114
56*7   _392   
6*210  _1260  
122+2  _124
579*8  _4632  
811*3  _2433  
8*365  _2920  
1*606  _606   
6+37   _43
971+81 _1052
20*4   _80    
6*48   _288   
752*2  _1504  
3+257  _260
3*37   _111   
67*161 _10787 
936*97 _90792 
197+0  _197
77*9   _693   
8+265  _273
68+1   _69
150*9  _1350  
3+603  _606
941*1  _941   
7*196  _1372  
3+934  _937
110*173_19030 
4+569  _573
729*216_157464
31*0   _0     
220+2  _222
41+712 _753
99+23  _122
43+588 _631
0+65   _65
73+4   _77
933+3  _936
640+295_935
957+56 _1013
5*12   _60    
25+546 _571
15+67  _82
660+708_1368
81+3   _84
7*82   _574   
738+6  _744
593*815_483295
3+779  _782
14*47  _658   
75*47  _3525  
5+819  _824
592+2  _594
857+760_1617
135*84 _11340 
6+319  _325
599+91 _690
39+46  _85
345*329_113505
3+66   _69
98*96  _9408  
5+370  _375
2*47   _94    
98+595 _693
776+5  _781
13+986 _999
90+5   _95
484+6  _490
35+50  _85
91+467 _558
3*34   _102   
1+31   _32
129+34 _163
545*63 _34335 
830*5  _4150  
59*614 _36226 
46*1   _46    
37+8   _45
6*33   _198   
175*142_24850 
4*835  _3340  
192+774_966
129*4  _516   
0+89   _89
574+3  _577
1+54   _55
2*27   _54    
472+753_1225
8*650  _5200  
627*90 _56430 
983*4  _3932  
6*840  _5040  
379+99 _478
84*46  _3864  
2+670  _672
4*52   _208   
430*44 _18920 
57+7   _64
1*91   _91    
772*4  _3088  
565*24 _13560 
93+514 _607
97*54  _5238  
9+17   _26
438*694_303972
245+84 _329
44*641 _28204 
842*829_698018
335+0  _335
928*498_462144
810+9  _819
6+922  _928
61+867 _928
814*9  _7326  
5+376  _381
88+30  _118
755+378_1133
7+20   _27
625*85 _53125 
9*505  _4545  
91*773 _70343 
12*96  _1152  
973+729_1702
1*835  _835   
4*898  _3592  
625+7  _632
792+802_1594
944+45 _989
86*39  _3354  
301+630_931
201+69 _270
35+78  _113
680*68 _46240 
9*467  _4203  
35*21  _735   
62+0   _62
96*8   _768   
715*1  _715   
8+288  _296
58+297 _355
582*359_208938
991+9  _1000
752*74 _55648 
15+24  _39
57+50  _107
827*661_546647
978*85 _83130 
287*60 _17220 
749*634_474866
400+8  _408
557+45 _602
221+6  _227
80*929 _74320 
80*8   _640   
889*643_571627
71*4   _284   
46*42  _1932  
249+70 _319
339+135_474
22*0   _0     
339+7  _346
0*35   _0     
690+97 _787
9+46   _55
36*60  _2160  
6+561  _567
727+9  _736
92*3   _276   
27+79  _106
762*8  _6096  
92+4   _96
92+33  _125
551+6  _557
12*1   _12    
6*50   _300   
295+5  _300
30*176 _5280  
48+75  _123
5*903  _4515  
7*459  _3213  
4*830  _3320  
96*3   _288   
406*63 _25578 
8*76   _608   
172+113_285
98+4   _102
891+509_1400
8*32   _256   
95*48  _4560  
99*205 _20295 
4+331  _335
527*178_93806 
19*78  _1482  
70+58  _128
457+4  _461
124+2  _126
272*409_111248
43+17  _60
96*569 _54624 
450+658_1108
2*852  _1704  
60*689 _41340 
74*65  _4810  
472+8  _480
7*747  _5229  
953*996_949188
956*8  _7648  
505+1  _506
79*45  _3555  
9+744  _753
497+36 _533
33+411 _444
71*307 _21797 
13+936 _949
6*81   _486   
44+8   _52
3+48   _51
669+99 _768
5+14   _19
9*59   _531   
743*198_147114
8+437  _445
894+1  _895
65+24  _89
6+20   _26
96+50  _146
990+4  _994
7+479  _486
74*823 _60902 
967*40 _38680 
84*55  _4620  
66+8   _74
2*28   _56    
38+32  _70
9*408  _3672  
72+94  _166
14*300 _4200  
85+57  _142
3*29   _87    
951+965_1916
8*178  _1424  
848+65 _913
70*992 _69440 
701+4  _705
0*814  _0     
14*13  _182   
13*388 _5044  
37+33  _70
96*25  _2400  
46*665 _30590 
210*2  _420   
4+70   _74
644*746_480424
21+89  _110
898*7  _6286  
61+5   _66
660+3  _663
3*262  _786   
0+28   _28
62*264 _16368 
21*191 _4011  
103*55 _5665  
68*3   _204   
75*334 _25050 
439*9  _3951  
11+588 _599
2+228  _230
32*37  _1184  
137+505_642
3*135  _405   
244+68 _312
51*68  _3468  
644+693_1337
929*911_846319
174+285_459
341*0  _0     
86+38  _124
707+140_847
454+4  _458
40*60  _2400  
391*19 _7429  
373*15 _5595  
4+13   _17
2*619  _1238  
957*4  _3828  
983*52 _51116 
98*147 _14406 
128*2  _256   
26*3   _78    
54*47  _2538  
26*4   _104   
610+62 _672
724*3  _2172  
9+346  _355
85*65  _5525  
31+615 _646
3*11   _33    
572+61 _633
799+60 _859
318+7  _325
939+6  _945
104*94 _9776  
86+451 _537
64*2   _128   
24*67  _1608  
213+0  _213
967+47 _1014
2+30   _32
587+359_946
335*10 _3350  
806*12 _9672  
25+925 _950
52*558 _29016 
280*12 _3360  
2+216  _218
20*33  _660   
923*920_849160
256+6  _262
516+3  _519
8*47   _376   
7*66   _462   
273*50 _13650 
382+413_795
7+486  _493
810*590_477900
437+56 _493
81*63  _5103  
3*35   _105   
370*455_168350
