505*1  _505   
77*3   _231   
3*87   _261   
1*92   _92    
84*70  _5880  
31*130 _4030  
1*768  _768   
2*49   _98    
4*22   _88    
12*6   _72    
96*45  _4320  
8*80   _640   
3*239  _717   
9*0    _0     
38*705 _26790 
879*9  _7911  
52*545 _28340 
1*992  _992   
731*834_609654
68*41  _2788  
11*3   _33    
738*2  _1476  
0*48   _0     
535*732_391620
39*44  _1716  
315*68 _21420 
28*56  _1568  
903*8  _7224  
468*0  _0     
33*138 _4554  
189*13 _2457  
0*518  _0     
5*17   _85    
461*284_130924
473*57 _26961 
4*3    _12    
20*97  _1940  
8*65   _520   
7*48   _336   
7*62   _434   
38*18  _684   
33*412 _13596 
5*82   _410   
62*56  _3472  
86*3   _258   
1*234  _234   
414*425_175950
98*899 _88102 
91*76  _6916  
34*91  _3094  
389*89 _34621 
658*9  _5922  
77*2   _154   
87*10  _870   
660*703_463980
93*82  _7626  
2*8    _16    
8*555  _4440  
9*19   _171   
154*148_22792 
7*22   _154   
2*31   _62    
5*608  _3040  
427*516_220332
19*139 _2641  
25*17  _425   
2*663  _1326  
6*54   _324   
157*3  _471   
909*29 _26361 
7*28   _196   
47*9   _423   
793*232_183976
579*8  _4632  
64*761 _48704 
863*268_231284
3*942  _2826  
2*875  _1750  
823*9  _7407  
7*80   _560   
441*4  _1764  
343*257_88151 
57*309 _17613 
858*1  _858   
852*7  _5964  
16*293 _4688  
2*405  _810   
56*8   _448   
6*398  _2388  
84*93  _7812  
34*2   _68    
352*224_78848 
308*179_55132 
68*1   _68    
237*26 _6162  
7*736  _5152  
559*1  _559   
4*55   _220   
9*48   _432   
2*5    _10    
11*50  _550   
6*603  _3618  
9*250  _2250  
7*985  _6895  
229*27 _6183  
96*139 _13344 
62*204 _12648 
95*6   _570   
7*216  _1512  
41*499 _20459 
4*584  _2336  
85*8   _680   
6*2    _12    
9*9    _81    
37*15  _555   
200*2  _400   
323*923_298129
989*946_935594
151*47 _7097  
490*364_178360
590*3  _1770  
4*397  _1588  
8*50   _400   
648*1  _648   
599*61 _36539 
5*195  _975   
73*519 _37887 
8*37   _296   
578*110_63580 
4*404  _1616  
1*29   _29    
9*4    _36    
371*3  _1113  
33*99  _3267  
34*850 _28900 
738*30 _22140 
86*127 _10922 
80*4   _320   
748*7  _5236  
664*30 _19920 
943*6  _5658  
3*43   _129   
24*7   _168   
183*60 _10980 
3*8    _24    
3*78   _234   
3*0    _0     
2*95   _190   
764*237_181068
88*32  _2816  
7*381  _2667  
413*3  _1239  
45*305 _13725 
0*33   _0     
213*853_181689
49*50  _2450  
67*7   _469   
30*2   _60    
353*932_328996
14*604 _8456  
66*63  _4158  
98*5   _490   
70*37  _2590  
374*6  _2244  
568*79 _44872 
6*14   _84    
12*4   _48    
14*619 _8666  
78*58  _4524  
1*13   _13    
2*935  _1870  
693*9  _6237  
60*6   _360   
98*4   _392   
0*285  _0     
207*652_134964
360*368_132480
28*16  _448   
15*46  _690   
26*52  _1352  
653*1  _653   
98*932 _91336 
2*459  _918   
3*80   _240   
87*33  _2871  
819*51 _41769 
53*652 _34556 
203*11 _2233  
5*832  _4160  
264*673_177672
39*68  _2652  
13*40  _520   
8*923  _7384  
7*6    _42    
93*1   _93    
3*613  _1839  
69*927 _63963 
273*87 _23751 
15*8   _120   
14*1   _14    
1*829  _829   
90*9   _810   
43*2   _86    
30*6   _180   
666*7  _4662  
85*75  _6375  
66*523 _34518 
74*790 _58460 
235*379_89065 
98*7   _686   
2*3    _6     
6*37   _222   
37*486 _17982 
2*961  _1922  
701*5  _3505  
56*21  _1176  
699*23 _16077 
6*838  _5028  
2*468  _936   
174*687_119538
518*4  _2072  
9*10   _90    
329*456_150024
245*67 _16415 
39*85  _3315  
4*142  _568   
54*402 _21708 
0*0    _0     
139*7  _973   
2*1    _2     
67*8   _536   
69*553 _38157 
89*109 _9701  
524*56 _29344 
753*10 _7530  
66*267 _17622 
52*1   _52    
70*2   _140   
450*84 _37800 
5*0    _0     
358*297_106326
2*76   _152   
19*483 _9177  
4*6    _24    
9*314  _2826  
53*267 _14151 
53*44  _2332  
8*304  _2432  
3*460  _1380  
106*6  _636   
5*7    _35    
50*709 _35450 
43*973 _41839 
67*95  _6365  
2*15   _30    
9*614  _5526  
39*8   _312   
3*177  _531   
677*656_444112
718*904_649072
5*87   _435   
57*176 _10032 
51*7   _357   
3*64   _192   
95*3   _285   
2*355  _710   
2*29   _58    
366*30 _10980 
3*17   _51    
4*905  _3620  
575*1  _575   
227*40 _9080  
95*99  _9405  
68*60  _4080  
26*649 _16874 
6*803  _4818  
0*772  _0     
86*228 _19608 
601*1  _601   
784*9  _7056  
46*702 _32292 
81*39  _3159  
4*14   _56    
97*45  _4365  
758*26 _19708 
9*57   _513   
95*395 _37525 
96*550 _52800 
5*64   _320   
79*32  _2528  
26*871 _22646 
0*164  _0     
15*5   _75    
1*873  _873   
849*42 _35658 
5*253  _1265  
8*411  _3288  
376*43 _16168 
9*26   _234   
7*158  _1106  
120*0  _0     
193*37 _7141  
9*476  _4284  
54*3   _162   
97*428 _41516 
3*3    _9     
49*9   _441   
3*58   _174   
805*740_595700
614*56 _34384 
129*534_68886 
14*9   _126   
205*7  _1435  
53*32  _1696  
28*13  _364   
0*910  _0     
1*31   _31    
60*24  _1440  
597*9  _5373  
814*400_325600
7*44   _308   
94*86  _8084  
44*19  _836   
67*629 _42143 
54*2   _108   
2*21   _42    
7*14   _98    
8*130  _1040  
55*78  _4290  
594*96 _57024 
77*7   _539   
6*64   _384   
17*2   _34    
4*629  _2516  
436*35 _15260 
380*2  _760   
30*24  _720   
21*87  _1827  
82*6   _492   
6*891  _5346  
8*41   _328   
9*466  _4194  
783*879_688257
14*72  _1008  
11*1   _11    
7*19   _133   
1*4    _4     
290*8  _2320  
4*213  _852   
71*646 _45866 
841*48 _40368 
57*6   _342   
57*1   _57    
9*2    _18    
82*29  _2378  
92*351 _32292 
72*90  _6480  
4*32   _128   
750*206_154500
421*8  _3368  
992*681_675552
1*74   _74    
1*69   _69    
45*4   _180   
642*0  _0     
18*635 _11430 
72*9   _648   
755*2  _1510  
54*889 _48006 
55*9   _495   
2*99   _198   
108*5  _540   
44*585 _25740 
537*4  _2148  
405*948_383940
292*4  _1168  
96*2   _192   
3*83   _249   
613*231_141603
7*40   _280   
780*634_494520
226*5  _1130  
79*401 _31679 
26*25  _650   
76*5   _380   
46*8   _368   
358*7  _2506  
3*793  _2379  
5*679  _3395  
9*93   _837   
459*3  _1377  
65*1   _65    
535*1  _535   
75*8   _600   
8*34   _272   
294*3  _882   
63*88  _5544  
9*940  _8460  
499*9  _4491  
92*307 _28244 
47*4   _188   
8*43   _344   
4*626  _2504  
2*332  _664   
4*683  _2732  
421*24 _10104 
164*252_41328 
1*841  _841   
89*1   _89    
9*502  _4518  
514*53 _27242 
26*35  _910   
56*1   _56    
160*5  _800   
2*55   _110   
1*939  _939   
6*101  _606   
686*2  _1372  
879*240_210960
8*8    _64    
256*691_176896
43*85  _3655  
398*1  _398   
741*7  _5187  
42*265 _11130 
43*222 _9546  
6*10   _60    
850*6  _5100  
32*0   _0     
8*7    _56    
965*833_803845
34*88  _2992  
36*80  _2880  
63*894 _56322 
1*901  _901   
110*11 _1210  
71*377 _26767 
17*95  _1615  
486*964_468504
151*35 _5285  
32*893 _28576 
36*38  _1368  
492*38 _18696 
12*84  _1008  
34*715 _24310 
389*72 _28008 
643*51 _32793 
1*70   _70    
3*9    _27    
729*2  _1458  
860*4  _3440  
968*7  _6776  
6*435  _2610  
49*51  _2499  
72*67  _4824  
1*54   _54    
60*82  _4920  
0*335  _0     
7*78   _546   
58*148 _8584  
67*9   _603   
6*48   _288   
997*79 _78763 
776*3  _2328  
48*2   _96    
36*264 _9504  
8*6    _48    
82*535 _43870 
909*65 _59085 
920*1  _920   
58*679 _39382 
5*26   _130   
8*570  _4560  
684*9  _6156  
174*544_94656 
9*8    _72    
423*62 _26226 
6*288  _1728  
6*88   _528   
459*5  _2295  
234*182_42588 
740*7  _5180  
0*688  _0     
158*72 _11376 
870*705_613350
531*0  _0     
81*5   _405   
29*58  _1682  
708*21 _14868 
41*2   _82    
660*1  _660   
81*0   _0     
71*3   _213   
4*91   _364   
43*26  _1118  
2*19   _38    
96*961 _92256 
703*594_417582
6*243  _1458  
69*867 _59823 
1*343  _343   
2*920  _1840  
9*21   _189   
168*812_136416
236*646_152456
734*41 _30094 
40*58  _2320  
946*27 _25542 
642*74 _47508 
0*52   _0     
48*451 _21648 
90*88  _7920  
685*5  _3425  
25*773 _19325 
937*48 _44976 
1*48   _48    
6*932  _5592  
60*0   _0     
6*83   _498   
65*92  _5980  
72*864 _62208 
441*3  _1323  
537*9  _4833  
164*53 _8692  
298*1  _298   
541*2  _1082  
331*47 _15557 
339*78 _26442 
46*2   _92    
6*310  _1860  
3*582  _1746  
5*12   _60    
69*73  _5037  
103*3  _309   
956*9  _8604  
24*65  _1560  
586*6  _3516  
85*807 _68595 
92*96  _8832  
6*859  _5154  
7*2    _14    
150*82 _12300 
399*415_165585
0*245  _0     
657*681_447417
2*752  _1504  
512*1  _512   
1*80   _80    
45*784 _35280 
629*5  _3145  
4*26   _104   
965*877_846305
107*8  _856   
5*469  _2345  
88*8   _704   
4*37   _148   
0*451  _0     
277*8  _2216  
29*4   _116   
83*0   _0     
65*50  _3250  
6*46   _276   
57*10  _570   
908*88 _79904 
788*258_203304
345*93 _32085 
572*394_225368
65*6   _390   
57*465 _26505 
751*87 _65337 
29*723 _20967 
674*1  _674   
34*71  _2414  
802*39 _31278 
978*4  _3912  
76*7   _532   
179*303_54237 
495*36 _17820 
25*617 _15425 
513*671_344223
111*976_108336
0*210  _0     
0*892  _0     
4*4    _16    
0*1    _0     
5*350  _1750  
913*6  _5478  
20*559 _11180 
54*856 _46224 
26*0   _0     
5*3    _15    
64*368 _23552 
190*7  _1330  
62*8   _496   
6*34   _204   
84*9   _756   
942*1  _942   
0*728  _0     
92*179 _16468 
152*9  _1368  
985*6  _5910  
484*55 _26620 
0*578  _0     
61*8   _488   
94*372 _34968 
3*39   _117   
83*567 _47061 
81*41  _3321  
672*95 _63840 
204*60 _12240 
3*521  _1563  
576*721_415296
22*85  _1870  
398*4  _1592  
672*4  _2688  
332*30 _9960  
65*846 _54990 
1*761  _761   
58*748 _43384 
824*8  _6592  
244*404_98576 
392*26 _10192 
60*2   _120   
666*42 _27972 
901*3  _2703  
17*45  _765   
26*896 _23296 
66*931 _61446 
42*312 _13104 
108*9  _972   
93*280 _26040 
11*79  _869   
9*38   _342   
92*5   _460   
730*71 _51830 
122*9  _1098  
62*312 _19344 
443*70 _31010 
511*9  _4599  
594*472_280368
63*1   _63    
9*498  _4482  
246*381_93726 
97*503 _48791 
0*97   _0     
292*242_70664 
486*58 _28188 
50*983 _49150 
41*609 _24969 
7*58   _406   
2*33   _66    
93*64  _5952  
5*662  _3310  
7*163  _1141  
601*204_122604
20*0   _0     
33*365 _12045 
7*220  _1540  
277*4  _1108  
56*3   _168   
7*20   _140   
9*11   _99    
86*71  _6106  
980*45 _44100 
42*7   _294   
7*26   _182   
38*97  _3686  
132*71 _9372  
9*339  _3051  
62*5   _310   
45*432 _19440 
58*37  _2146  
705*609_429345
64*4   _256   
0*709  _0     
36*6   _216   
85*1   _85    
0*691  _0     
335*6  _2010  
256*19 _4864  
846*18 _15228 
54*796 _42984 
75*426 _31950 
899*83 _74617 
44*71  _3124  
2*87   _174   
465*808_375720
238*256_60928 
5*51   _255   
41*1   _41    
271*131_35501 
8*559  _4472  
423*408_172584
50*342 _17100 
0*51   _0     
76*81  _6156  
82*286 _23452 
897*259_232323
72*5   _360   
524*457_239468
280*7  _1960  
742*7  _5194  
9*906  _8154  
480*799_383520
85*65  _5525  
64*221 _14144 
10*55  _550   
22*13  _286   
3*31   _93    
312*212_66144 
258*772_199176
41*454 _18614 
7*10   _70    
29*6   _174   
341*353_120373
38*396 _15048 
6*413  _2478  
6*431  _2586  
51*82  _4182  
18*27  _486   
966*156_150696
64*279 _17856 
81*191 _15471 
44*25  _1100  
1*95   _95    
111*876_97236 
6*602  _3612  
168*0  _0     
678*2  _1356  
7*469  _3283  
1*755  _755   
2*530  _1060  
97*644 _62468 
7*422  _2954  
49*0   _0     
22*0   _0     
95*507 _48165 
13*63  _819   
5*474  _2370  
262*5  _1310  
68*330 _22440 
9*23   _207   
653*5  _3265  
956*2  _1912  
4*54   _216   
928*28 _25984 
7*21   _147   
9*217  _1953  
5*406  _2030  
39*0   _0     
50*1   _50    
447*8  _3576  
78*1   _78    
507*680_344760
24*9   _216   
66*0   _0     
0*57   _0     
6*41   _246   
723*21 _15183 
70*185 _12950 
2*28   _56    
657*81 _53217 
0*67   _0     
3*28   _84    
6*334  _2004  
6*280  _1680  
5*10   _50    
35*732 _25620 
783*0  _0     
1*146  _146   
96*9   _864   
0*458  _0     
31*46  _1426  
98*880 _86240 
45*7   _315   
114*878_100092
992*77 _76384 
7*38   _266   
788*2  _1576  
2*35   _70    
348*8  _2784  
2*450  _900   
9*28   _252   
0*792  _0     
744*593_441192
450*1  _450   
58*499 _28942 
184*64 _11776 
19*77  _1463  
39*639 _24921 
28*20  _560   
2*995  _1990  
81*9   _729   
947*624_590928
3*287  _861   
70*122 _8540  
16*340 _5440  
1*544  _544   
3*425  _1275  
994*6  _5964  
688*32 _22016 
3*992  _2976  
80*9   _720   
94*6   _564   
0*675  _0     
49*977 _47873 
465*344_159960
672*14 _9408  
176*2  _352   
63*725 _45675 
8*71   _568   
27*8   _216   
880*59 _51920 
12*354 _4248  
72*920 _66240 
251*15 _3765  
400*324_129600
74*600 _44400 
945*0  _0     
419*583_244277
753*5  _3765  
539*290_156310
47*7   _329   
35*57  _1995  
86*549 _47214 
867*191_165597
5*204  _1020  
746*2  _1492  
267*3  _801   
725*4  _2900  
79*29  _2291  
91*37  _3367  
159*2  _318   
678*4  _2712  
53*4   _212   
742*904_670768
2*86   _172   
97*7   _679   
253*80 _20240 
0*31   _0     
2*566  _1132  
1*890  _890   
4*94   _376   
76*74  _5624  
7*403  _2821  
0*834  _0     
98*71  _6958  
36*21  _756   
8*622  _4976  
807*10 _8070  
125*2  _250   
586*357_209202
446*7  _3122  
688*176_121088
9*243  _2187  
694*50 _34700 
96*476 _45696 
64*9   _576   
0*351  _0     
878*61 _53558 
742*95 _70490 
73*51  _3723  
32*443 _14176 
157*6  _942   
475*5  _2375  
917*2  _1834  
85*91  _7735  
113*1  _113   
7*25   _175   
49*26  _1274  
8*288  _2304  
7*27   _189   
612*352_215424
6*90   _540   
720*383_275760
71*7   _497   
85*14  _1190  
50*240 _12000 
540*5  _2700  
4*502  _2008  
96*3   _288   
621*0  _0     
38*32  _1216  
40*5   _200   
62*0   _0     
786*6  _4716  
90*0   _0     
8*81   _648   
76*52  _3952  
81*674 _54594 
311*395_122845
3*476  _1428  
856*28 _23968 
701*42 _29442 
8*970  _7760  
224*764_171136
3*46   _138   
9*12   _108   
449*6  _2694  
82*235 _19270 
528*447_236016
722*48 _34656 
47*686 _32242 
25*1   _25    
620*612_379440
828*1  _828   
85*382 _32470 
740*9  _6660  
6*25   _150   
994*63 _62622 
850*139_118150
77*798 _61446 
158*64 _10112 
815*6  _4890  
8*99   _792   
214*43 _9202  
772*8  _6176  
91*61  _5551  
6*776  _4656  
361*6  _2166  
93*5   _465   
1*40   _40    
28*0   _0     
63*945 _59535 
35*617 _21595 
20*473 _9460  
407*5  _2035  
69*8   _552   
899*4  _3596  
0*586  _0     
7*566  _3962  
489*48 _23472 
90*451 _40590 
383*423_162009
4*156  _624   
84*41  _3444  
29*57  _1653  
318*753_239454
62*62  _3844  
7*804  _5628  
348*859_298932
27*87  _2349  
104*76 _7904  
96*949 _91104 
89*781 _69509 
31*38  _1178  
431*79 _34049 
59*3   _177   
6*97   _582   
73*96  _7008  
8*653  _5224  
673*973_654829
63*64  _4032  
987*536_529032
86*660 _56760 
562*528_296736
611*63 _38493 
317*227_71959 
25*5   _125   
53*859 _45527 
65*9   _585   
113*894_101022
1*962  _962   
467*2  _934   
8*617  _4936  
224*72 _16128 
81*7   _567   
1*96   _96    
36*587 _21132 
423*265_112095
32*984 _31488 
4*242  _968   
19*46  _874   
21*910 _19110 
970*6  _5820  
8*49   _392   
17*41  _697   
860*5  _4300  
517*5  _2585  
19*26  _494   
881*3  _2643  
73*2   _146   
453*95 _43035 
260*4  _1040  
165*8  _1320  
252*397_100044
31*59  _1829  
64*159 _10176 
7*50   _350   
7*625  _4375  
37*300 _11100 
97*66  _6402  
222*523_116106
27*274 _7398  
617*869_536173
768*776_595968
3*588  _1764  
9*268  _2412  
32*431 _13792 
62*16  _992   
677*94 _63638 
5*78   _390   
20*8   _160   
3*22   _66    
604*440_265760
974*739_719786
840*16 _13440 
6*762  _4572  
82*982 _80524 
32*24  _768   
39*943 _36777 
70*0   _0     
998*789_787422
215*58 _12470 
662*719_475978
65*75  _4875  
3*91   _273   
88*24  _2112  
151*78 _11778 
7*168  _1176  
6*503  _3018  
679*48 _32592 
646*816_527136
69*744 _51336 
0*96   _0     
3*50   _150   
36*2   _72    
77*6   _462   
624*445_277680
628*0  _0     
44*2   _88    
61*9   _549   
403*80 _32240 
583*285_166155
22*61  _1342  
68*677 _46036 
504*834_420336
183*342_62586 
85*26  _2210  
394*79 _31126 
91*7   _637   
3*110  _330   
86*8   _688   
538*613_329794
99*584 _57816 
1*640  _640   
421*9  _3789  
86*770 _66220 
7*30   _210   
21*99  _2079  
6*956  _5736  
875*49 _42875 
557*5  _2785  
45*959 _43155 
965*25 _24125 
13*813 _10569 
158*54 _8532  
80*19  _1520  
284*3  _852   
68*88  _5984  
9*83   _747   
154*662_101948
0*45   _0     
536*0  _0     
503*76 _38228 
398*56 _22288 
3*233  _699   
315*725_228375
5*46   _230   
395*8  _3160  
184*601_110584
336*3  _1008  
46*1   _46    
0*85   _0     
61*95  _5795  
8*781  _6248  
396*8  _3168  
31*471 _14601 
6*378  _2268  
419*22 _9218  
666*848_564768
9*158  _1422  
6*81   _486   
25*9   _225   
798*362_288876
456*419_191064
9*282  _2538  
102*22 _2244  
354*87 _30798 
0*617  _0     
52*373 _19396 
32*818 _26176 
360*4  _1440  
58*67  _3886  
4*31   _124   
44*47  _2068  
58*352 _20416 
42*23  _966   
66*51  _3366  
787*18 _14166 
9*77   _693   
27*511 _13797 
946*83 _78518 
493*90 _44370 
97*90  _8730  
190*2  _380   
933*3  _2799  
65*5   _325   
72*87  _6264  
955*4  _3820  
18*93  _1674  
86*30  _2580  
600*608_364800
8*589  _4712  
45*237 _10665 
744*1  _744   
57*36  _2052  
587*2  _1174  
1*283  _283   
2*13   _26    
6*689  _4134  
881*31 _27311 
5*321  _1605  
841*20 _16820 
966*22 _21252 
58*646 _37468 
871*68 _59228 
37*78  _2886  
74*39  _2886  
90*66  _5940  
80*477 _38160 
40*855 _34200 
861*80 _68880 
389*42 _16338 
681*350_238350
559*679_379561
723*55 _39765 
9*30   _270   
345*40 _13800 
142*87 _12354 
37*868 _32116 
0*68   _0     
80*5   _400   
27*78  _2106  
36*5   _180   
38*5   _190   
91*0   _0     
2*85   _170   
335*5  _1675  
2*59   _118   
524*9  _4716  
59*6   _354   
707*4  _2828  
3*26   _78    
84*3   _252   
54*30  _1620  
7*621  _4347  
542*6  _3252  
3*55   _165   
846*2  _1692  
0*717  _0     
2*282  _564   
310*859_266290
6*344  _2064  
254*2  _508   
61*2   _122   
897*74 _66378 
4*717  _2868  
138*8  _1104  
0*913  _0     
12*3   _36    
733*8  _5864  
7*171  _1197  
751*25 _18775 
687*45 _30915 
4*855  _3420  
803*56 _44968 
54*5   _270   
561*415_232815
9*91   _819   
450*966_434700
0*41   _0     
5*857  _4285  
8*339  _2712  
49*760 _37240 
931*8  _7448  
43*158 _6794  
0*59   _0     
637*1  _637   
4*44   _176   
336*714_239904
795*0  _0     
379*64 _24256 
62*74  _4588  
80*0   _0     
5*632  _3160  
61*28  _1708  
61*307 _18727 
30*744 _22320 
8*545  _4360  
57*620 _35340 
366*64 _23424 
66*3   _198   
9*41   _369   
945*9  _8505  
3*315  _945   
1*287  _287   
661*59 _38999 
908*3  _2724  
438*55 _24090 
820*5  _4100  
656*29 _19024 
569*40 _22760 
293*45 _13185 
36*83  _2988  
33*38  _1254  
47*967 _45449 
89*758 _67462 
2*873  _1746  
859*709_609031
460*880_404800
235*91 _21385 
668*71 _47428 
69*745 _51405 
0*657  _0     
97*30  _2910  
18*8   _144   
2*640  _1280  
30*271 _8130  
233*71 _16543 
162*67 _10854 
8*830  _6640  
314*57 _17898 
7*95   _665   
6*68   _408   
55*55  _3025  
85*58  _4930  
313*3  _939   
93*0   _0     
187*1  _187   
132*6  _792   
206*937_193022
33*35  _1155  
49*1   _49    
82*66  _5412  
94*20  _1880  
59*8   _472   
476*231_109956
33*4   _132   
70*6   _420   
65*3   _195   
14*99  _1386  
0*863  _0     
152*43 _6536  
407*1  _407   
35*4   _140   
2*80   _160   
8*329  _2632  
5*61   _305   
88*1   _88    
86*34  _2924  
12*1   _12    
87*9   _783   
83*2   _166   
47*1   _47    
6*560  _3360  
588*27 _15876 
578*4  _2312  
477*8  _3816  
991*98 _97118 
8*72   _576   
7*52   _364   
96*112 _10752 
326*53 _17278 
5*816  _4080  
857*153_131121
2*27   _54    
1*410  _410   
15*961 _14415 
55*6   _330   
6*86   _516   
94*498 _46812 
0*86   _0     
378*5  _1890  
193*7  _1351  
45*6   _270   
100*806_80600 
588*0  _0     
11*184 _2024  
31*545 _16895 
545*15 _8175  
327*2  _654   
56*6   _336   
90*801 _72090 
12*0   _0     
34*722 _24548 
340*451_153340
79*995 _78605 
8*802  _6416  
15*3   _45    
306*3  _918   
1*75   _75    
1*37   _37    
22*213 _4686  
16*19  _304   
128*153_19584 
9*92   _828   
5*16   _80    
39*29  _1131  
50*578 _28900 
1*703  _703   
13*76  _988   
92*0   _0     
99*67  _6633  
7*107  _749   
19*324 _6156  
511*77 _39347 
508*32 _16256 
186*79 _14694 
945*86 _81270 
51*27  _1377  
25*25  _625   
2*97   _194   
698*4  _2792  
38*52  _1976  
8*994  _7952  
665*6  _3990  
633*760_481080
401*38 _15238 
27*5   _135   
985*4  _3940  
6*733  _4398  
94*48  _4512  
4*575  _2300  
2*2    _4     
22*90  _1980  
135*87 _11745 
78*71  _5538  
805*53 _42665 
794*7  _5558  
49*29  _1421  
22*2   _44    
9*679  _6111  
81*68  _5508  
222*464_103008
175*644_112700
245*570_139650
372*8  _2976  
528*54 _28512 
82*30  _2460  
15*69  _1035  
246*4  _984   
428*413_176764
3*610  _1830  
48*4   _192   
4*21   _84    
5*95   _475   
959*9  _8631  
650*241_156650
999*5  _4995  
1*306  _306   
76*865 _65740 
850*9  _7650  
24*61  _1464  
98*566 _55468 
432*5  _2160  
9*154  _1386  
29*776 _22504 
87*801 _69687 
6*27   _162   
27*391 _10557 
15*704 _10560 
67*94  _6298  
464*1  _464   
45*748 _33660 
359*806_289354
63*33  _2079  
29*45  _1305  
8*172  _1376  
760*3  _2280  
481*6  _2886  
29*646 _18734 
6*967  _5802  
724*2  _1448  
382*0  _0     
5*67   _335   
16*4   _64    
934*667_622978
7*628  _4396  
33*48  _1584  
17*75  _1275  
238*9  _2142  
4*23   _92    
9*17   _153   
51*836 _42636 
260*471_122460
9*22   _198   
277*9  _2493  
38*250 _9500  
723*398_287754
554*1  _554   
5*32   _160   
2*558  _1116  
6*91   _546   
34*399 _13566 
103*31 _3193  
714*1  _714   
367*3  _1101  
482*0  _0     
865*8  _6920  
74*38  _2812  
19*422 _8018  
100*517_51700 
17*939 _15963 
27*263 _7101  
965*53 _51145 
614*2  _1228  
91*958 _87178 
79*821 _64859 
64*471 _30144 
16*73  _1168  
20*77  _1540  
9*320  _2880  
886*29 _25694 
62*50  _3100  
346*492_170232
3*937  _2811  
48*970 _46560 
5*757  _3785  
64*51  _3264  
28*885 _24780 
47*25  _1175  
878*63 _55314 
934*41 _38294 
67*93  _6231  
3*49   _147   
6*771  _4626  
3*92   _276   
4*115  _460   
4*24   _96    
46*639 _29394 
918*7  _6426  
56*94  _5264  
291*88 _25608 
53*928 _49184 
566*745_421670
345*63 _21735 
419*5  _2095  
239*1  _239   
3*900  _2700  
424*1  _424   
68*231 _15708 
77*98  _7546  
8*714  _5712  
22*517 _11374 
42*63  _2646  
31*737 _22847 
127*9  _1143  
30*33  _990   
54*7   _378   
3*34   _102   
315*33 _10395 
86*72  _6192  
0*54   _0     
355*45 _15975 
709*1  _709   
292*50 _14600 
412*556_229072
93*71  _6603  
2*953  _1906  
27*9   _243   
56*7   _392   
0*206  _0     
15*96  _1440  
803*7  _5621  
610*95 _57950 
68*93  _6324  
