32-0   _32  
7-4    _3   
600-8  _592 
4-17   _-13 
572-55 _517 
2-624  _-622
52-66  _-14 
4-0    _4   
637-986_-349
925-6  _919 
66-4   _62  
64-92  _-28 
225-2  _223 
0-729  _-729
43-623 _-580
8-456  _-448
4-728  _-724
36-2   _34  
67-456 _-389
1-38   _-37 
59-600 _-541
85-28  _57  
61-47  _14  
47-44  _3   
935-5  _930 
3-591  _-588
707-908_-201
11-5   _6   
35-61  _-26 
0-417  _-417
398-1  _397 
27-120 _-93 
654-2  _652 
78-3   _75  
72-95  _-23 
68-19  _49  
3-9    _-6  
9-94   _-85 
298-3  _295 
57-47  _10  
33-27  _6   
80-1   _79  
75-5   _70  
8-98   _-90 
71-264 _-193
83-7   _76  
36-332 _-296
148-75 _73  
6-380  _-374
2-15   _-13 
673-2  _671 
0-325  _-325
9-8    _1   
30-973 _-943
773-762_11  
268-6  _262 
2-9    _-7  
3-84   _-81 
2-16   _-14 
80-98  _-18 
45-921 _-876
9-9    _0   
60-207 _-147
796-691_105 
2-331  _-329
5-1    _4   
43-2   _41  
7-223  _-216
0-79   _-79 
26-730 _-704
622-88 _534 
29-1   _28  
664-9  _655 
14-0   _14  
77-3   _74  
325-40 _285 
77-7   _70  
90-3   _87  
13-7   _6   
898-28 _870 
24-9   _15  
7-12   _-5  
83-0   _83  
67-37  _30  
4-893  _-889
63-428 _-365
75-279 _-204
1-1    _0   
1-234  _-233
2-45   _-43 
0-45   _-45 
91-94  _-3  
378-315_63  
91-66  _25  
948-528_420 
4-26   _-22 
210-182_28  
21-6   _15  
566-90 _476 
32-76  _-44 
136-20 _116 
3-3    _0   
30-320 _-290
8-44   _-36 
2-21   _-19 
956-5  _951 
4-6    _-2  
1-2    _-1  
63-350 _-287
7-383  _-376
38-889 _-851
33-985 _-952
704-591_113 
6-593  _-587
877-943_-66 
83-37  _46  
318-3  _315 
88-83  _5   
68-956 _-888
615-49 _566 
85-96  _-11 
60-491 _-431
958-866_92  
1-624  _-623
367-82 _285 
668-9  _659 
249-46 _203 
845-476_369 
58-5   _53  
87-968 _-881
6-841  _-835
589-426_163 
8-99   _-91 
5-853  _-848
2-41   _-39 
84-197 _-113
95-4   _91  
9-412  _-403
56-9   _47  
7-648  _-641
391-0  _391 
52-910 _-858
49-847 _-798
38-375 _-337
18-9   _9   
428-50 _378 
551-413_138 
5-825  _-820
412-45 _367 
715-3  _712 
52-5   _47  
426-11 _415 
214-1  _213 
0-9    _-9  
469-6  _463 
48-5   _43  
722-41 _681 
0-98   _-98 
1-35   _-34 
77-525 _-448
952-4  _948 
8-7    _1   
16-37  _-21 
6-14   _-8  
80-45  _35  
8-94   _-86 
418-8  _410 
16-481 _-465
663-63 _600 
24-22  _2   
5-942  _-937
9-462  _-453
5-14   _-9  
35-334 _-299
13-67  _-54 
6-40   _-34 
89-719 _-630
500-4  _496 
6-75   _-69 
26-322 _-296
3-93   _-90 
837-67 _770 
725-728_-3  
390-66 _324 
9-110  _-101
22-43  _-21 
195-86 _109 
509-5  _504 
1-651  _-650
93-5   _88  
62-872 _-810
84-5   _79  
6-47   _-41 
2-54   _-52 
288-370_-82 
700-48 _652 
3-86   _-83 
434-52 _382 
3-424  _-421
804-3  _801 
833-74 _759 
525-47 _478 
420-953_-533
38-62  _-24 
90-955 _-865
796-72 _724 
3-490  _-487
327-778_-451
6-13   _-7  
2-40   _-38 
4-422  _-418
639-9  _630 
5-18   _-13 
29-2   _27  
7-90   _-83 
4-294  _-290
193-5  _188 
24-32  _-8  
239-7  _232 
458-52 _406 
474-290_184 
495-6  _489 
37-77  _-40 
847-209_638 
1-99   _-98 
485-62 _423 
34-130 _-96 
4-87   _-83 
0-68   _-68 
7-91   _-84 
89-41  _48  
2-32   _-30 
3-648  _-645
314-15 _299 
4-20   _-16 
11-9   _2   
7-616  _-609
34-5   _29  
9-5    _4   
4-4    _0   
6-85   _-79 
7-478  _-471
7-3    _4   
417-292_125 
898-838_60  
61-454 _-393
4-46   _-42 
18-28  _-10 
9-4    _5   
242-78 _164 
52-437 _-385
0-339  _-339
33-67  _-34 
588-9  _579 
9-72   _-63 
385-4  _381 
3-484  _-481
0-888  _-888
111-439_-328
212-337_-125
479-17 _462 
501-9  _492 
32-35  _-3  
974-4  _970 
841-3  _838 
1-89   _-88 
296-46 _250 
73-9   _64  
403-7  _396 
23-8   _15  
3-888  _-885
4-193  _-189
0-672  _-672
85-91  _-6  
5-238  _-233
272-610_-338
668-91 _577 
53-7   _46  
9-933  _-924
65-56  _9   
5-617  _-612
1-55   _-54 
605-401_204 
66-534 _-468
9-114  _-105
513-1  _512 
79-978 _-899
43-334 _-291
8-4    _4   
3-545  _-542
321-133_188 
30-709 _-679
87-3   _84  
176-422_-246
210-365_-155
17-729 _-712
36-3   _33  
8-790  _-782
90-4   _86  
99-86  _13  
631-7  _624 
84-196 _-112
761-5  _756 
4-277  _-273
6-571  _-565
404-2  _402 
4-382  _-378
66-2   _64  
71-9   _62  
8-399  _-391
361-460_-99 
642-2  _640 
359-86 _273 
6-368  _-362
521-34 _487 
31-12  _19  
1-881  _-880
79-4   _75  
11-3   _8   
24-6   _18  
35-967 _-932
81-2   _79  
52-2   _50  
8-536  _-528
569-314_255 
2-757  _-755
5-19   _-14 
504-43 _461 
7-202  _-195
929-4  _925 
194-65 _129 
270-77 _193 
374-732_-358
1-317  _-316
53-423 _-370
276-0  _276 
4-36   _-32 
739-6  _733 
704-5  _699 
601-44 _557 
17-999 _-982
0-8    _-8  
95-5   _90  
17-29  _-12 
856-264_592 
58-161 _-103
0-239  _-239
90-47  _43  
2-177  _-175
74-0   _74  
95-94  _1   
96-4   _92  
175-81 _94  
71-2   _69  
382-347_35  
3-274  _-271
6-711  _-705
51-3   _48  
8-43   _-35 
1-37   _-36 
541-436_105 
13-24  _-11 
87-77  _10  
2-706  _-704
493-594_-101
78-9   _69  
613-80 _533 
19-511 _-492
9-698  _-689
16-86  _-70 
65-47  _18  
5-5    _0   
498-8  _490 
14-205 _-191
37-97  _-60 
489-280_209 
55-2   _53  
969-658_311 
874-98 _776 
94-99  _-5  
291-14 _277 
7-7    _0   
9-961  _-952
295-309_-14 
9-425  _-416
5-35   _-30 
831-2  _829 
426-71 _355 
31-360 _-329
973-3  _970 
76-927 _-851
79-16  _63  
2-6    _-4  
251-25 _226 
93-2   _91  
91-2   _89  
75-4   _71  
6-31   _-25 
3-342  _-339
5-69   _-64 
7-156  _-149
407-826_-419
257-61 _196 
1-20   _-19 
1-597  _-596
848-6  _842 
49-385 _-336
9-39   _-30 
0-807  _-807
604-3  _601 
0-60   _-60 
28-19  _9   
62-299 _-237
473-91 _382 
64-750 _-686
17-54  _-37 
842-9  _833 
7-337  _-330
519-77 _442 
2-221  _-219
575-9  _566 
13-0   _13  
4-179  _-175
332-667_-335
12-28  _-16 
626-884_-258
421-27 _394 
48-360 _-312
78-60  _18  
12-872 _-860
78-6   _72  
702-3  _699 
22-5   _17  
42-7   _35  
867-987_-120
146-2  _144 
81-997 _-916
525-86 _439 
995-278_717 
97-3   _94  
21-599 _-578
361-751_-390
142-3  _139 
25-1   _24  
2-348  _-346
8-10   _-2  
50-629 _-579
683-984_-301
88-21  _67  
96-6   _90  
72-857 _-785
3-62   _-59 
7-92   _-85 
5-642  _-637
803-4  _799 
6-77   _-71 
531-91 _440 
978-723_255 
452-569_-117
193-14 _179 
71-7   _64  
0-43   _-43 
72-3   _69  
7-419  _-412
6-26   _-20 
881-37 _844 
96-2   _94  
833-84 _749 
33-520 _-487
311-11 _300 
574-8  _566 
1-94   _-93 
555-4  _551 
5-56   _-51 
476-970_-494
474-301_173 
77-25  _52  
601-41 _560 
639-93 _546 
8-465  _-457
525-20 _505 
185-40 _145 
4-558  _-554
1-61   _-60 
7-2    _5   
1-73   _-72 
873-510_363 
53-161 _-108
21-97  _-76 
6-32   _-26 
618-2  _616 
4-91   _-87 
25-9   _16  
8-687  _-679
63-5   _58  
25-461 _-436
476-111_365 
232-8  _224 
7-384  _-377
63-64  _-1  
634-7  _627 
63-396 _-333
418-697_-279
676-35 _641 
2-906  _-904
8-55   _-47 
91-532 _-441
90-88  _2   
7-275  _-268
6-95   _-89 
51-1   _50  
616-2  _614 
160-2  _158 
76-20  _56  
406-963_-557
6-53   _-47 
542-227_315 
37-776 _-739
31-616 _-585
9-26   _-17 
68-3   _65  
4-537  _-533
267-4  _263 
30-127 _-97 
398-9  _389 
1-7    _-6  
287-7  _280 
766-759_7   
0-23   _-23 
390-57 _333 
2-690  _-688
3-70   _-67 
2-28   _-26 
5-920  _-915
44-42  _2   
925-51 _874 
601-71 _530 
329-6  _323 
25-608 _-583
14-44  _-30 
53-602 _-549
55-276 _-221
48-0   _48  
0-0    _0   
360-81 _279 
41-71  _-30 
3-25   _-22 
517-832_-315
44-0   _44  
8-540  _-532
1-548  _-547
430-831_-401
369-633_-264
8-72   _-64 
697-46 _651 
825-1  _824 
139-14 _125 
95-802 _-707
904-60 _844 
4-183  _-179
41-366 _-325
86-7   _79  
5-42   _-37 
1-77   _-76 
88-88  _0   
3-88   _-85 
10-192 _-182
76-83  _-7  
818-1  _817 
853-499_354 
33-851 _-818
78-83  _-5  
8-32   _-24 
4-838  _-834
3-39   _-36 
812-31 _781 
673-41 _632 
477-67 _410 
13-50  _-37 
84-119 _-35 
292-213_79  
90-13  _77  
629-9  _620 
4-650  _-646
6-12   _-6  
9-45   _-36 
57-218 _-161
8-504  _-496
277-5  _272 
2-255  _-253
946-2  _944 
35-372 _-337
16-977 _-961
7-527  _-520
1-0    _1   
675-14 _661 
40-63  _-23 
82-983 _-901
434-0  _434 
9-376  _-367
28-68  _-40 
45-8   _37  
4-856  _-852
60-589 _-529
920-155_765 
18-81  _-63 
19-4   _15  
46-429 _-383
634-9  _625 
945-712_233 
978-71 _907 
37-63  _-26 
1-9    _-8  
3-41   _-38 
984-134_850 
7-508  _-501
11-7   _4   
3-830  _-827
6-49   _-43 
0-67   _-67 
63-58  _5   
5-77   _-72 
8-49   _-41 
34-4   _30  
0-6    _-6  
236-5  _231 
0-467  _-467
111-198_-87 
793-97 _696 
66-1   _65  
414-3  _411 
8-51   _-43 
481-7  _474 
75-8   _67  
869-0  _869 
7-70   _-63 
991-29 _962 
36-303 _-267
20-40  _-20 
85-3   _82  
58-61  _-3  
7-838  _-831
814-572_242 
33-64  _-31 
1-90   _-89 
3-680  _-677
9-614  _-605
8-155  _-147
443-20 _423 
875-173_702 
33-71  _-38 
40-308 _-268
54-1   _53  
6-994  _-988
860-1  _859 
781-0  _781 
6-793  _-787
28-78  _-50 
15-397 _-382
38-42  _-4  
54-71  _-17 
93-261 _-168
70-26  _44  
89-57  _32  
449-1  _448 
250-7  _243 
34-0   _34  
0-235  _-235
724-9  _715 
536-4  _532 
11-467 _-456
803-0  _803 
9-823  _-814
666-6  _660 
98-470 _-372
36-205 _-169
27-3   _24  
5-145  _-140
1-563  _-562
59-5   _54  
698-3  _695 
14-41  _-27 
21-999 _-978
26-0   _26  
623-154_469 
979-232_747 
8-73   _-65 
5-644  _-639
6-57   _-51 
31-636 _-605
70-1   _69  
17-46  _-29 
71-131 _-60 
37-745 _-708
52-9   _43  
7-84   _-77 
31-997 _-966
16-41  _-25 
80-51  _29  
1-687  _-686
14-290 _-276
3-22   _-19 
437-5  _432 
49-37  _12  
43-61  _-18 
87-770 _-683
868-17 _851 
1-30   _-29 
51-26  _25  
47-2   _45  
9-80   _-71 
71-47  _24  
824-72 _752 
954-29 _925 
91-8   _83  
4-30   _-26 
29-273 _-244
858-72 _786 
0-69   _-69 
107-238_-131
5-556  _-551
367-136_231 
9-809  _-800
3-419  _-416
8-602  _-594
560-6  _554 
427-50 _377 
25-799 _-774
991-5  _986 
498-356_142 
65-55  _10  
93-467 _-374
7-454  _-447
1-759  _-758
51-66  _-15 
4-121  _-117
6-224  _-218
113-6  _107 
8-460  _-452
326-0  _326 
51-16  _35  
96-967 _-871
5-24   _-19 
85-592 _-507
69-80  _-11 
209-43 _166 
117-4  _113 
50-2   _48  
9-797  _-788
370-785_-415
961-22 _939 
649-7  _642 
85-8   _77  
11-48  _-37 
1-50   _-49 
6-22   _-16 
159-66 _93  
34-84  _-50 
0-21   _-21 
56-25  _31  
91-5   _86  
213-886_-673
538-6  _532 
2-12   _-10 
208-9  _199 
11-396 _-385
8-834  _-826
4-765  _-761
327-294_33  
62-55  _7   
86-382 _-296
232-749_-517
2-191  _-189
302-8  _294 
0-727  _-727
46-70  _-24 
938-9  _929 
61-2   _59  
6-1    _5   
358-99 _259 
171-6  _165 
418-32 _386 
17-631 _-614
440-402_38  
69-86  _-17 
518-61 _457 
37-6   _31  
8-61   _-53 
4-39   _-35 
9-251  _-242
84-2   _82  
318-433_-115
940-60 _880 
766-74 _692 
0-37   _-37 
596-495_101 
24-187 _-163
806-996_-190
20-36  _-16 
446-4  _442 
715-4  _711 
632-31 _601 
578-9  _569 
72-12  _60  
423-9  _414 
22-8   _14  
735-39 _696 
779-961_-182
454-84 _370 
7-37   _-30 
63-6   _57  
435-8  _427 
132-3  _129 
716-0  _716 
468-7  _461 
3-13   _-10 
53-79  _-26 
85-133 _-48 
46-19  _27  
34-7   _27  
38-0   _38  
998-169_829 
645-39 _606 
95-230 _-135
307-8  _299 
691-12 _679 
22-449 _-427
66-20  _46  
850-9  _841 
233-0  _233 
92-34  _58  
211-24 _187 
94-7   _87  
23-24  _-1  
12-842 _-830
3-73   _-70 
738-72 _666 
56-312 _-256
7-625  _-618
69-669 _-600
86-1   _85  
885-75 _810 
799-11 _788 
40-146 _-106
2-242  _-240
31-19  _12  
523-7  _516 
48-207 _-159
41-410 _-369
8-168  _-160
890-545_345 
728-14 _714 
4-98   _-94 
55-24  _31  
4-5    _-1  
630-62 _568 
92-84  _8   
23-7   _16  
681-5  _676 
521-736_-215
93-8   _85  
43-54  _-11 
88-0   _88  
626-8  _618 
3-688  _-685
124-931_-807
72-560 _-488
5-634  _-629
106-6  _100 
92-9   _83  
20-34  _-14 
392-92 _300 
819-9  _810 
10-26  _-16 
407-263_144 
477-4  _473 
6-325  _-319
767-639_128 
419-4  _415 
87-87  _0   
91-117 _-26 
357-12 _345 
4-88   _-84 
458-40 _418 
4-773  _-769
37-531 _-494
1-18   _-17 
20-936 _-916
637-768_-131
26-440 _-414
96-37  _59  
4-52   _-48 
678-39 _639 
7-93   _-86 
8-83   _-75 
280-830_-550
4-32   _-28 
109-0  _109 
863-36 _827 
871-4  _867 
73-960 _-887
80-7   _73  
240-8  _232 
43-36  _7   
3-364  _-361
2-33   _-31 
318-63 _255 
1-82   _-81 
866-70 _796 
681-13 _668 
2-88   _-86 
23-206 _-183
65-372 _-307
10-6   _4   
53-0   _53  
300-7  _293 
44-181 _-137
832-85 _747 
91-288 _-197
8-957  _-949
168-75 _93  
28-82  _-54 
510-658_-148
252-44 _208 
17-41  _-24 
818-62 _756 
2-319  _-317
560-3  _557 
87-43  _44  
57-195 _-138
8-156  _-148
13-40  _-27 
5-71   _-66 
565-82 _483 
373-3  _370 
28-0   _28  
347-6  _341 
0-128  _-128
65-3   _62  
39-5   _34  
84-37  _47  
74-5   _69  
55-4   _51  
397-14 _383 
89-934 _-845
36-16  _20  
46-786 _-740
366-33 _333 
500-51 _449 
834-757_77  
5-30   _-25 
19-39  _-20 
898-14 _884 
35-21  _14  
108-122_-14 
24-572 _-548
413-13 _400 
57-887 _-830
749-459_290 
2-985  _-983
9-261  _-252
163-757_-594
261-703_-442
750-484_266 
76-371 _-295
240-50 _190 
736-31 _705 
475-84 _391 
74-968 _-894
18-37  _-19 
36-10  _26  
12-1   _11  
2-764  _-762
837-73 _764 
53-17  _36  
518-3  _515 
4-333  _-329
9-75   _-66 
202-713_-511
9-10   _-1  
0-92   _-92 
28-32  _-4  
43-6   _37  
663-29 _634 
79-7   _72  
44-54  _-10 
43-12  _31  
97-893 _-796
35-831 _-796
591-23 _568 
51-906 _-855
96-3   _93  
5-398  _-393
724-336_388 
744-107_637 
0-91   _-91 
765-296_469 
24-67  _-43 
853-718_135 
32-451 _-419
7-355  _-348
956-738_218 
4-534  _-530
46-68  _-22 
94-693 _-599
5-23   _-18 
375-746_-371
57-20  _37  
683-699_-16 
66-25  _41  
1-56   _-55 
62-8   _54  
949-3  _946 
7-186  _-179
0-118  _-118
838-1  _837 
67-130 _-63 
79-36  _43  
59-35  _24  
5-715  _-710
96-0   _96  
476-68 _408 
57-45  _12  
848-16 _832 
16-16  _0   
5-808  _-803
47-0   _47  
81-3   _78  
590-7  _583 
58-465 _-407
710-62 _648 
938-241_697 
724-656_68  
812-766_46  
948-28 _920 
628-65 _563 
4-40   _-36 
0-78   _-78 
22-37  _-15 
83-911 _-828
66-501 _-435
0-16   _-16 
688-21 _667 
7-157  _-150
559-824_-265
7-572  _-565
90-14  _76  
2-729  _-727
6-86   _-80 
129-2  _127 
797-429_368 
317-91 _226 
18-8   _10  
4-77   _-73 
93-34  _59  
9-15   _-6  
63-1   _62  
565-2  _563 
38-50  _-12 
0-523  _-523
848-478_370 
322-3  _319 
721-8  _713 
923-353_570 
19-94  _-75 
236-9  _227 
6-54   _-48 
986-41 _945 
103-9  _94  
340-5  _335 
1-302  _-301
364-2  _362 
599-123_476 
330-15 _315 
459-90 _369 
65-563 _-498
489-584_-95 
822-1  _821 
556-37 _519 
25-62  _-37 
558-995_-437
48-488 _-440
898-2  _896 
3-61   _-58 
818-413_405 
792-4  _788 
853-9  _844 
76-87  _-11 
23-6   _17  
51-355 _-304
71-8   _63  
23-94  _-71 
22-785 _-763
985-184_801 
8-50   _-42 
446-1  _445 
88-389 _-301
287-79 _208 
64-458 _-394
833-4  _829 
15-309 _-294
0-941  _-941
5-36   _-31 
950-2  _948 
90-74  _16  
573-8  _565 
18-65  _-47 
623-45 _578 
65-68  _-3  
42-336 _-294
9-766  _-757
734-275_459 
0-90   _-90 
73-5   _68  
96-739 _-643
79-2   _77  
711-0  _711 
8-79   _-71 
2-27   _-25 
0-792  _-792
53-8   _45  
952-3  _949 
58-3   _55  
24-784 _-760
988-306_682 
939-80 _859 
237-582_-345
66-16  _50  
111-18 _93  
6-107  _-101
1-803  _-802
592-51 _541 
82-75  _7   
1-23   _-22 
5-638  _-633
21-38  _-17 
438-0  _438 
236-3  _233 
619-984_-365
406-6  _400 
708-1  _707 
74-983 _-909
782-83 _699 
53-76  _-23 
500-193_307 
82-21  _61  
54-8   _46  
12-82  _-70 
673-55 _618 
45-19  _26  
145-89 _56  
6-623  _-617
4-28   _-24 
466-7  _459 
10-154 _-144
229-23 _206 
12-423 _-411
800-94 _706 
584-796_-212
0-652  _-652
600-4  _596 
411-6  _405 
47-165 _-118
44-40  _4   
76-199 _-123
84-942 _-858
792-745_47  
69-184 _-115
36-6   _30  
185-326_-141
41-0   _41  
891-284_607 
3-343  _-340
35-459 _-424
66-408 _-342
498-1  _497 
4-74   _-70 
27-568 _-541
57-381 _-324
775-4  _771 
156-664_-508
87-0   _87  
197-4  _193 
55-46  _9   
43-124 _-81 
665-829_-164
201-3  _198 
97-527 _-430
1-339  _-338
92-700 _-608
6-108  _-102
413-57 _356 
5-485  _-480
550-9  _541 
6-6    _0   
3-18   _-15 
642-6  _636 
51-87  _-36 
886-5  _881 
992-0  _992 
0-485  _-485
87-912 _-825
524-9  _515 
559-6  _553 
731-9  _722 
716-175_541 
7-990  _-983
954-288_666 
1-724  _-723
869-4  _865 
883-955_-72 
13-74  _-61 
2-85   _-83 
72-748 _-676
191-6  _185 
751-138_613 
5-213  _-208
0-22   _-22 
68-84  _-16 
8-267  _-259
8-308  _-300
414-818_-404
11-6   _5   
99-2   _97  
754-1  _753 
829-11 _818 
9-55   _-46 
254-17 _237 
252-2  _250 
5-53   _-48 
393-96 _297 
0-684  _-684
63-855 _-792
125-49 _76  
84-469 _-385
620-117_503 
949-345_604 
49-9   _40  
949-251_698 
53-1   _52  
22-19  _3   
392-174_218 
761-9  _752 
393-19 _374 
8-596  _-588
9-6    _3   
423-60 _363 
6-38   _-32 
50-53  _-3  
62-28  _34  
7-36   _-29 
749-54 _695 
5-159  _-154
799-90 _709 
63-163 _-100
0-614  _-614
166-2  _164 
359-28 _331 
21-5   _16  
171-1  _170 
865-82 _783 
692-44 _648 
50-249 _-199
121-0  _121 
36-75  _-39 
2-829  _-827
84-99  _-15 
811-92 _719 
9-406  _-397
10-916 _-906
473-6  _467 
642-911_-269
798-938_-140
814-4  _810 
0-167  _-167
96-9   _87  
193-92 _101 
838-2  _836 
448-204_244 
309-2  _307 
682-399_283 
9-66   _-57 
748-1  _747 
6-486  _-480
87-5   _82  
107-853_-746
74-15  _59  
611-1  _610 
59-9   _50  
124-0  _124 
806-26 _780 
702-291_411 
2-18   _-16 
30-598 _-568
23-66  _-43 
833-222_611 
386-74 _312 
9-50   _-41 
96-17  _79  
73-48  _25  
425-3  _422 
82-43  _39  
588-4  _584 
180-48 _132 
165-64 _101 
98-9   _89  
7-691  _-684
70-9   _61  
80-5   _75  
222-6  _216 
69-56  _13  
51-156 _-105
27-625 _-598
46-279 _-233
822-26 _796 
55-25  _30  
68-750 _-682
293-2  _291 
565-760_-195
96-221 _-125
3-35   _-32 
0-491  _-491
79-110 _-31 
82-102 _-20 
44-4   _40  
8-35   _-27 
5-51   _-46 
53-2   _51  
470-0  _470 
3-91   _-88 
3-497  _-494
83-221 _-138
183-16 _167 
69-9   _60  
121-69 _52  
12-90  _-78 
63-7   _56  
8-169  _-161
4-35   _-31 
679-800_-121
6-873  _-867
772-102_670 
77-605 _-528
5-809  _-804
36-71  _-35 
437-8  _429 
4-515  _-511
814-5  _809 
549-32 _517 
13-8   _5   
319-9  _310 
231-708_-477
606-5  _601 
48-7   _41  
821-50 _771 
90-872 _-782
163-4  _159 
23-52  _-29 
10-968 _-958
145-2  _143 
24-78  _-54 
855-5  _850 
306-2  _304 
26-8   _18  
505-758_-253
157-4  _153 
707-66 _641 
8-36   _-28 
24-2   _22  
141-7  _134 
83-9   _74  
36-719 _-683
3-74   _-71 
8-668  _-660
18-408 _-390
5-256  _-251
662-862_-200
838-63 _775 
1-96   _-95 
178-522_-344
393-2  _391 
146-4  _142 
832-112_720 
556-865_-309
29-8   _21  
9-33   _-24 
656-5  _651 
73-71  _2   
463-7  _456 
396-1  _395 
4-81   _-77 
900-6  _894 
9-23   _-14 
5-600  _-595
85-517 _-432
5-367  _-362
98-29  _69  
70-8   _62  
323-61 _262 
29-9   _20  
208-42 _166 
6-76   _-70 
7-17   _-10 
121-5  _116 
445-820_-375
50-4   _46  
727-464_263 
38-19  _19  
872-4  _868 
612-24 _588 
4-753  _-749
30-258 _-228
65-80  _-15 
4-14   _-10 
304-816_-512
38-24  _14  
484-190_294 
16-9   _7   
482-7  _475 
8-202  _-194
521-286_235 
352-5  _347 
412-812_-400
67-518 _-451
70-43  _27  
507-954_-447
9-375  _-366
998-84 _914 
146-89 _57  
4-292  _-288
688-824_-136
283-0  _283 
93-265 _-172
5-110  _-105
527-861_-334
122-271_-149
9-85   _-76 
3-409  _-406
0-595  _-595
435-5  _430 
494-386_108 
87-148 _-61 
733-5  _728 
2-121  _-119
92-67  _25  
9-402  _-393
684-6  _678 
2-561  _-559
7-89   _-82 
0-738  _-738
930-805_125 
0-115  _-115
313-394_-81 
44-3   _41  
69-8   _61  
56-491 _-435
913-658_255 
89-17  _72  
255-10 _245 
549-6  _543 
398-153_245 
8-544  _-536
4-703  _-699
2-342  _-340
77-916 _-839
95-90  _5   
337-17 _320 
28-33  _-5  
602-299_303 
821-3  _818 
758-75 _683 
909-76 _833 
832-7  _825 
5-81   _-76 
97-79  _18  
973-941_32  
329-5  _324 
59-7   _52  
381-578_-197
61-466 _-405
42-49  _-7  
784-0  _784 
91-266 _-175
983-286_697 
24-73  _-49 
22-94  _-72 
39-248 _-209
41-58  _-17 
79-50  _29  
7-38   _-31 
78-7   _71  
397-0  _397 
5-718  _-713
56-968 _-912
933-275_658 
49-82  _-33 
160-34 _126 
20-45  _-25 
247-913_-666
664-7  _657 
20-667 _-647
714-756_-42 
149-70 _79  
713-80 _633 
74-2   _72  
24-46  _-22 
993-6  _987 
40-137 _-97 
702-21 _681 
38-700 _-662
28-7   _21  
22-906 _-884
127-1  _126 
3-53   _-50 
64-67  _-3  
